AccessionNumber,DDLatitude,DDLongitude,GeographicRegion
2021-2128,31.64054,-89.55792,8
2021-2129,32.89208,-92.36302,2
2021-2130,32.89212,-92.36307,2
2021-2131,32.8922,-92.36298,2
2021-2132,32.89226,-92.36326,2
2021-2133,32.89234,-92.36327,2
2021-2134,32.89236,-92.3632,2
2021-2135,32.89231,-92.36312,2
2021-2136,32.89223,-92.36307,2
2021-2138,32.89079,-92.3645,2
2021-2139,32.89093,-92.36458,2
2021-2140,32.89091,-92.36468,2
2021-2142,32.89142,-92.36463,2
2021-2143,32.8914,-92.36477,2
2021-2144,32.8913,-92.3648,2
2021-2145,32.89137,-92.36497,2
2021-2146,32.99102,-94.01869,3
2021-2147,32.99099,-94.01818,3
2021-2149,32.99102,-94.01688,3
2021-2150,32.99099,-94.01617,3
2021-2153,33.73726,-93.86207,5
2021-2154,33.73685,-93.8604,5
2021-2155,33.7368,-93.8604,5
2021-2156,33.73705,-93.86183,5
2021-2157,33.76944,-93.64815,5
2021-2158,33.76862,-93.64829,5
2021-2159,33.76846,-93.64827,5
2021-2160,33.76776,-93.6483,5
2021-2162,33.76951,-93.64893,5
2021-2163,33.76951,-93.64831,5
2021-2164,33.76945,-93.64848,5
2021-2165,33.76896,-93.64891,5
2021-2166,33.65819,-93.17102,4
2021-2167,33.65793,-93.17241,4
2021-2168,33.65779,-93.17231,4
2021-2169,33.67945,-93.16628,4
2021-2170,33.6862,-93.11632,4
2021-2171,33.68607,-93.11569,4
2021-2172,33.70817,-93.08442,4
2021-2173,33.78853,-93.64414,5
2021-2174,33.71116,-92.99714,4
2021-2175,33.71162,-92.99704,4